"ensembl_gene_id" "gene_name"
"ENSG00000228050" "TOP3BP1"
"ENSG00000101057" "MYBL2"
"ENSG00000144730" "IL17RD"
"ENSG00000281327" "LINC01338"
"ENSG00000225510" "PCDH8P1"
"ENSG00000111859" "NEDD9"
"ENSG00000247925" ""
"ENSG00000136111" "TBC1D4"
"ENSG00000118922" "KLF12"
"ENSG00000240350" "SOCAR"
"ENSG00000172965" "MIR4435-2HG"
"ENSG00000285016" ""
"ENSG00000280878" ""
"ENSG00000267188" ""
"ENSG00000278318" "ZNF229"
"ENSG00000149091" "DGKZ"
"ENSG00000250426" "FTLP10"
"ENSG00000012779" "ALOX5"
"ENSG00000108821" "COL1A1"
"ENSG00000249406" ""
"ENSG00000065911" "MTHFD2"
"ENSG00000279070" ""
"ENSG00000167757" "KLK11"
"ENSG00000015532" "XYLT2"
"ENSG00000163626" "COX18"
"ENSG00000229021" ""
"ENSG00000163191" "S100A11"
"ENSG00000170500" "LONRF2"
"ENSG00000124610" "H1-1"
"ENSG00000150394" "CDH8"
"ENSG00000091651" "ORC6"
"ENSG00000069329" "VPS35"
"ENSG00000163528" "CHCHD4"
"ENSG00000170876" "TMEM43"
"ENSG00000254064" ""
"ENSG00000144488" "ESPNL"
"ENSG00000138769" "CDKL2"
"ENSG00000188243" "COMMD6"
"ENSG00000187555" "USP7"
"ENSG00000260979" "USP7-AS1"
"ENSG00000160145" "KALRN"
"ENSG00000167962" "ZNF598"
"ENSG00000183971" "NPW"
"ENSG00000125691" "RPL23"
"ENSG00000252699" "SNORA21B"
"ENSG00000199293" "SNORA21"
"ENSG00000141698" "NT5C3B"
"ENSG00000161594" "KLHL10"
"ENSG00000169372" "CRADD"
"ENSG00000172819" "RARG"
"ENSG00000260903" "XKR7"
"ENSG00000159842" "ABR"
"ENSG00000179477" "ALOX12B"
"ENSG00000214999" ""
"ENSG00000117643" "MAN1C1"
"ENSG00000185000" "DGAT1"
"ENSG00000254690" ""
"ENSG00000129514" "FOXA1"
"ENSG00000139865" "TTC6"
"ENSG00000272801" ""
"ENSG00000131374" "TBC1D5"
"ENSG00000182568" "SATB1"
"ENSG00000228956" "SATB1-AS1"
"ENSG00000112246" "SIM1"
"ENSG00000138079" "SLC3A1"
"ENSG00000285542" ""
"ENSG00000231609" ""
"ENSG00000249421" "ADAMTS19-AS1"
"ENSG00000145808" "ADAMTS19"
"ENSG00000231889" "TRAF3IP2-AS1"
"ENSG00000009413" "REV3L"
"ENSG00000170779" "CDCA4"
"ENSG00000185619" "PCGF3"
"ENSG00000067533" "RRP15"
"ENSG00000234377" "OBI1-AS1"
"ENSG00000254138" ""
"ENSG00000113361" "CDH6"
"ENSG00000153820" "SPHKAP"
"ENSG00000185989" "RASA3"
"ENSG00000124587" "PEX6"
"ENSG00000179532" "DNHD1"
"ENSG00000249859" "PVT1"
"ENSG00000283710" "MIR1204"
"ENSG00000173349" "SFT2D3"
"ENSG00000237575" "PYY2"
"ENSG00000148634" "HERC4"
"ENSG00000196535" "MYO18A"
"ENSG00000129946" "SHC2"
"ENSG00000136478" "TEX2"
"ENSG00000185436" "IFNLR1"
"ENSG00000155849" "ELMO1"
"ENSG00000256879" ""
"ENSG00000172572" "PDE3A"
"ENSG00000267125" ""
"ENSG00000028310" "BRD9"
"ENSG00000185624" "P4HB"
"ENSG00000197083" "ZNF300P1"
"ENSG00000177173" "NAP1L4P1"
"ENSG00000116815" "CD58"
"ENSG00000105397" "TYK2"
"ENSG00000112210" "RAB23"
"ENSG00000170819" "BFSP2"
"ENSG00000146147" "MLIP"
"ENSG00000236740" ""
"ENSG00000235050" "MLIP-AS1"
"ENSG00000159374" "M1AP"
"ENSG00000104447" "TRPS1"
"ENSG00000125398" "SOX9"
"ENSG00000288605" ""
"ENSG00000234899" "SOX9-AS1"
"ENSG00000273619" ""
"ENSG00000171858" "RPS21"
"ENSG00000072201" "LNX1"
"ENSG00000282278" ""
"ENSG00000248494" "LNX1-AS2"
"ENSG00000113638" "TTC33"
"ENSG00000171522" "PTGER4"
"ENSG00000135404" "CD63"
"ENSG00000103042" "SLC38A7"
"ENSG00000115756" "HPCAL1"
"ENSG00000100991" "TRPC4AP"
"ENSG00000169418" "NPR1"
"ENSG00000132361" "CLUH"
"ENSG00000135269" "TES"
"ENSG00000198010" "DLGAP2"
"ENSG00000205562" ""
"ENSG00000185070" "FLRT2"
"ENSG00000285744" ""
"ENSG00000177051" "FBXO46"
"ENSG00000279407" ""
"ENSG00000125998" "FAM83C"
"ENSG00000196639" "HRH1"
"ENSG00000278672" "MIR8059"
"ENSG00000167117" "ANKRD40CL"
"ENSG00000229656" "ITGB1-DT"
"ENSG00000150093" "ITGB1"
"ENSG00000186635" "ARAP1"
"ENSG00000143502" "SUSD4"
"ENSG00000128833" "MYO5C"
"ENSG00000155761" "SPAG17"
"ENSG00000147689" "FAM83A"
"ENSG00000128567" "PODXL"
"ENSG00000230979" ""
"ENSG00000111371" "SLC38A1"
"ENSG00000130147" "SH3BP4"
"ENSG00000113083" "LOX"
"ENSG00000164900" "GBX1"
"ENSG00000131473" "ACLY"
"ENSG00000139835" "GRTP1"
"ENSG00000235026" "DPP10-AS1"
"ENSG00000175497" "DPP10"
"ENSG00000111679" "PTPN6"
"ENSG00000162377" "COA7"
"ENSG00000277459" ""
"ENSG00000137693" "YAP1"
"ENSG00000227634" "LINC01714"
"ENSG00000197879" "MYO1C"
"ENSG00000264668" ""
"ENSG00000181638" "ZFP41"
"ENSG00000006432" "MAP3K9"
"ENSG00000197696" "NMB"
"ENSG00000171853" "TRAPPC12"
"ENSG00000136160" "EDNRB"
"ENSG00000189233" "NUGGC"
"ENSG00000143815" "LBR"
"ENSG00000221978" "CCNL2"
"ENSG00000224870" "MRPL20-AS1"
